id,name,description,unit,price_per_unit,category,image_url,created_at,barcode,homedepot_url,homedepot_sku
31,"Structural Screws 3/8"" x 3""",Heavy-duty structural wood screws for ledger boards and post connections.,box (50 pcs),28.00,Screws & Nails,,2026-03-12 01:35:17.306002,012345678915,,
32,"Concrete Anchor Bolts 1/2""",Expansion anchor bolts for fastening into concrete and masonry.,box (25 pcs),32.00,Screws & Nails,,2026-03-12 01:35:17.310189,012345678916,,
33,"Joist Hanger Nails 1.5""",Short galvanized nails for securing metal joist hangers and connectors.,box (1lb),7.50,Screws & Nails,,2026-03-12 01:35:17.314529,012345678917,,
34,"Lag Screws 5/16"" x 3""",Hex-head lag screws for heavy timber and structural connections.,box (50 pcs),22.00,Screws & Nails,,2026-03-12 01:35:17.317731,012345678918,https://www.homedepot.com/p/Everbilt-5-16-in-x-3-in-Hex-Zinc-Plated-Lag-Screw-50-Pack-801460/204282515,204282515
35,Interior Latex Paint - White,Premium low-VOC interior latex paint for walls and ceilings. Coverage ~400 sq ft per gallon.,gallon,38.00,Paint,,2026-03-12 01:45:14.736583,012345678919,,
36,Interior Latex Paint - Custom Color,"Tintable premium interior paint, specify color code at checkout.",gallon,44.00,Paint,,2026-03-12 01:45:14.990851,,,
37,Exterior Acrylic Paint,Weather-resistant exterior acrylic paint for siding and trim.,gallon,52.00,Paint,,2026-03-12 01:45:14.996075,,,
38,Primer - Drywall/Multi-Surface,PVA sealer and primer for new drywall and patched surfaces before painting.,gallon,28.00,Paint,,2026-03-12 01:45:15.001166,,https://www.homedepot.com/p/Glidden-PVA-1-gal-PVA-Drywall-Interior-Primer-GPD-0000-01/100199368,100199368
39,Concrete & Masonry Paint,"Waterproof paint formulated for concrete floors, block walls, and masonry.",gallon,46.00,Paint,,2026-03-12 01:45:15.007462,,,
40,Paint Roller Kit,"9"" roller frame with covers (3-pack) and extension pole for walls and ceilings.",kit,22.00,Paint,,2026-03-12 01:45:15.012817,,,
41,"Drywall Sheet 1/2"" 4x8","Standard 1/2"" gypsum drywall panel for interior walls and ceilings.",sheet,14.50,Drywall,,2026-03-12 01:45:15.016879,012345678920,https://www.homedepot.com/p/USG-Sheetrock-Brand-1-2-in-x-4-ft-x-8-ft-UltraLight-Drywall-14113411708/202530243,202530243
42,"Drywall Sheet 5/8"" 4x8 (Fire-Rated)","Type X fire-rated drywall for garages, shared walls, and code-required areas.",sheet,18.00,Drywall,,2026-03-12 01:45:15.021502,012345678921,https://www.homedepot.com/p/USG-Sheetrock-Brand-5-8-in-x-4-ft-x-8-ft-Firecode-X-Drywall-14211011308/100321591,100321591
43,Joint Compound (All-Purpose),"Pre-mixed all-purpose joint compound for taping, topping, and finishing drywall seams.",bucket (4.5 gal),24.00,Drywall,,2026-03-12 01:45:15.026053,012345678922,https://www.homedepot.com/p/USG-Sheetrock-Brand-4-5-gal-All-Purpose-Ready-Mixed-Joint-Compound-380501/100321605,100321605
44,Drywall Tape - Paper (500 ft),Standard paper joint tape for reinforcing drywall seams and corners.,roll,8.50,Drywall,,2026-03-12 01:45:15.030183,012345678923,,
45,Corner Bead - Metal (8 ft),Galvanized metal corner bead for protecting and finishing outside drywall corners.,piece,4.50,Drywall,,2026-03-12 01:45:15.033764,012345678924,,
46,Stucco Base Coat (80 lb),Portland cement-based stucco scratch and brown coat for exterior wall applications.,bag,22.00,Drywall,,2026-03-12 01:45:15.037773,,,
47,Stucco Finish Coat,"Acrylic finish coat stucco in white, ready to tint. Smooth or sand texture.",pail (5 gal),68.00,Drywall,,2026-03-12 01:45:15.041016,,,
48,Stucco Wire Mesh Lath,Galvanized wire mesh for reinforcing stucco over wood-frame walls.,roll (10 sq yd),34.00,Drywall,,2026-03-12 01:45:15.044585,,,
49,Interior Paint - Warm White,"Soft warm white interior latex paint, ideal for living rooms and bedrooms. Coverage ~400 sq ft per gallon.",gallon,38.00,Paint,,2026-03-12 01:53:46.588697,,,
50,Interior Paint - Cool Gray,"Modern cool gray interior paint, great for offices and contemporary spaces.",gallon,38.00,Paint,,2026-03-12 01:53:46.739809,,,
51,Interior Paint - Warm Beige,"Classic warm beige interior latex, versatile for hallways and common areas.",gallon,38.00,Paint,,2026-03-12 01:53:46.744427,,,
52,Interior Paint - Navy Blue,Deep navy blue interior latex paint for accent walls and feature rooms.,gallon,42.00,Paint,,2026-03-12 01:53:46.74898,,,
53,Interior Paint - Sage Green,"Muted sage green interior paint, popular for kitchens and bathrooms.",gallon,42.00,Paint,,2026-03-12 01:53:46.75325,,,
54,Interior Paint - Charcoal,"Rich charcoal gray interior paint for bold, dramatic interiors.",gallon,42.00,Paint,,2026-03-12 01:53:46.756992,,,
55,Interior Paint - Terracotta,Warm terracotta interior paint inspired by earthy southwestern tones.,gallon,42.00,Paint,,2026-03-12 01:53:46.760965,,,
56,Interior Paint - Black,"Matte black interior paint for ceilings, trim, and accent features.",gallon,44.00,Paint,,2026-03-12 01:53:46.764636,,,
57,Exterior Paint - Classic White,Durable weather-resistant exterior acrylic in classic white. UV and fade resistant.,gallon,52.00,Paint,,2026-03-12 01:53:46.769397,,,
58,Exterior Paint - Gray,Smooth exterior acrylic paint in a timeless mid-gray tone.,gallon,52.00,Paint,,2026-03-12 01:53:46.773653,,,
59,Exterior Paint - Beige,"Exterior acrylic in warm beige, popular for stucco and fiber cement siding.",gallon,52.00,Paint,,2026-03-12 01:53:46.777454,,,
60,Exterior Paint - Deep Blue,"Bold deep blue exterior paint for doors, shutters, and accent trim.",gallon,54.00,Paint,,2026-03-12 01:53:46.780996,,,
61,Exterior Paint - Forest Green,"Classic forest green exterior paint for trim, shutters, and doors.",gallon,54.00,Paint,,2026-03-12 01:53:46.784178,,,
62,"Lag Bolt 5/16"" x 3"" (Solar Mount)",Stainless steel lag bolt for anchoring solar mounting rails to roof rafters.,box (50 pcs),28.00,Solar,,2026-03-12 02:30:38.03816,,,
63,"Lag Bolt 3/8"" x 3"" (Solar Mount)",Heavy-duty stainless lag bolt for structural solar racking attachment.,box (50 pcs),36.00,Solar,,2026-03-12 02:30:38.044837,,,
65,Rail Splice (Solar),Aluminum rail splice connector for joining two solar mounting rails end-to-end.,piece,6.00,Solar,,2026-03-12 02:30:38.053691,,,
66,Solar Flashing Kit,L-foot and flashing assembly for waterproof roof penetration at solar mount points.,kit (10 pcs),55.00,Solar,,2026-03-12 02:30:38.057108,,,
68,15A Single Pole Breaker,15-amp single pole circuit breaker for solar sub-panel and DC disconnect applications.,piece,12.00,Electrical,,2026-03-12 02:30:38.07842,,https://www.homedepot.com/p/Square-D-Homeline-15-Amp-Single-Pole-Circuit-Breaker-HOM115CP-HOM115CP/100153952,100153952
69,20A Single Pole Breaker,20-amp single pole circuit breaker for branch circuits in solar electrical systems.,piece,13.00,Electrical,,2026-03-12 02:30:38.082661,,https://www.homedepot.com/p/Square-D-Homeline-20-Amp-Single-Pole-Circuit-Breaker-HOM120CP-HOM120CP/100045009,100045009
70,30A Single Pole Breaker,30-amp single pole breaker used in solar combiner and sub-panel installations.,piece,15.00,Electrical,,2026-03-12 02:30:38.086873,,https://www.homedepot.com/p/Square-D-Homeline-30-Amp-Single-Pole-Circuit-Breaker-HOM130CP/100008364,202353325
71,40A Single Pole Breaker,40-amp single pole breaker for larger solar branch circuits and combiner boxes.,piece,18.00,Electrical,,2026-03-12 02:30:38.090536,,,
72,50A Single Pole Breaker,50-amp single pole breaker for high-current solar feed circuits.,piece,22.00,Electrical,,2026-03-12 02:30:38.094002,,,
73,60A Single Pole Breaker,60-amp single pole breaker for solar main disconnect and high-capacity circuits.,piece,26.00,Electrical,,2026-03-12 02:30:38.09825,,,
74,15A Double Pole Breaker,15-amp double pole circuit breaker for 240V solar and inverter circuits.,piece,22.00,Electrical,,2026-03-12 02:30:38.101693,,https://www.homedepot.com/p/Square-D-Homeline-15-Amp-2-Pole-Circuit-Breaker-HOM215CP/100153970,202353324
75,20A Double Pole Breaker,20-amp double pole breaker for 240V solar inverter output connections.,piece,25.00,Electrical,,2026-03-12 02:30:38.106989,,,
76,30A Double Pole Breaker,30-amp double pole breaker for solar inverter and battery system 240V feeds.,piece,28.00,Electrical,,2026-03-12 02:30:38.110866,,https://www.homedepot.com/p/Square-D-Homeline-30-Amp-2-Pole-Circuit-Breaker-HOM230CP-HOM230CP/202353325,202353325
77,40A Double Pole Breaker,40-amp double pole breaker for larger 240V solar inverter connections.,piece,34.00,Electrical,,2026-03-12 02:30:38.115918,,,
78,50A Double Pole Breaker,50-amp double pole breaker for high-capacity solar system main feeds.,piece,40.00,Electrical,,2026-03-12 02:30:38.12035,,,
79,60A Double Pole Breaker,60-amp double pole breaker for solar main service connections and large inverters.,piece,48.00,Electrical,,2026-03-12 02:30:38.124093,,,
80,30A Solar Disconnect Box,UL-listed 30-amp AC/DC disconnect box for solar PV systems. Outdoor rated NEMA 3R enclosure.,unit,38.00,Electrical,,2026-03-12 02:40:51.726011,,,
81,60A Solar Disconnect Box,UL-listed 60-amp solar disconnect/combiner box for larger solar arrays. Outdoor NEMA 3R enclosure.,unit,58.00,Electrical,,2026-03-12 02:40:52.005131,,,
82,"1/2"" EMT Conduit (10 ft)",1/2-inch electrical metallic tubing for routing solar wiring on rooftop and exterior runs.,stick,7.50,Electrical,,2026-03-12 02:40:52.010569,,https://www.homedepot.com/p/1-2-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-853428/100400405,100400405
83,"3/4"" EMT Conduit (10 ft)",3/4-inch EMT conduit for medium solar wire runs and inverter connections.,stick,10.50,Electrical,,2026-03-12 02:40:52.015824,,https://www.homedepot.com/p/3-4-in-x-10-ft-Electrical-Metallic-Tubing-EMT-Conduit-0550110000/202068040,202068040
84,"1"" EMT Conduit (10 ft)",1-inch EMT conduit for larger solar feeder runs and combiner box connections.,stick,14.00,Electrical,,2026-03-12 02:40:52.020897,,https://www.homedepot.com/p/1-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-101568/100400409,100400409
85,"1-1/4"" EMT Conduit (10 ft)",1-1/4-inch EMT conduit for high-capacity solar feeder and battery system wiring.,stick,18.50,Electrical,,2026-03-12 02:40:52.02567,,,
86,"1-1/2"" EMT Conduit (10 ft)",1-1/2-inch EMT conduit for main solar service runs between inverter and panel.,stick,22.00,Electrical,,2026-03-12 02:40:52.02938,,,
87,"2"" EMT Conduit (10 ft)",2-inch EMT conduit for large commercial solar feeder and service entry runs.,stick,30.00,Electrical,,2026-03-12 02:40:52.033348,,,
88,"1/2"" EMT Conduit Coupling",Steel set-screw coupling for joining 1/2-inch EMT conduit sections.,piece,1.50,Electrical,,2026-03-12 02:40:52.03783,,,
89,"3/4"" EMT Conduit Coupling",Steel set-screw coupling for joining 3/4-inch EMT conduit sections.,piece,2.00,Electrical,,2026-03-12 02:40:52.041744,,,
90,"1"" EMT Conduit Coupling",Steel set-screw coupling for joining 1-inch EMT conduit sections.,piece,2.75,Electrical,,2026-03-12 02:40:52.045533,,,
91,"1-1/4"" EMT Conduit Coupling",Steel set-screw coupling for joining 1-1/4-inch EMT conduit sections.,piece,3.50,Electrical,,2026-03-12 02:40:52.049081,,,
92,"1-1/2"" EMT Conduit Coupling",Steel set-screw coupling for joining 1-1/2-inch EMT conduit sections.,piece,4.25,Electrical,,2026-03-12 02:40:52.052631,,,
93,"2"" EMT Conduit Coupling",Steel set-screw coupling for joining 2-inch EMT conduit sections.,piece,5.50,Electrical,,2026-03-12 02:40:52.057176,,,
94,100A 12-Space Load Center,100-amp main breaker load center with 12 spaces for branch circuit breakers. Indoor use.,unit,68.00,Electrical,,2026-03-12 02:40:52.060536,,,
95,100A 20-Space Load Center,"100-amp main breaker panel with 20 spaces. Suitable for garages, workshops, and small structures.",unit,88.00,Electrical,,2026-03-12 02:40:52.064705,,https://www.homedepot.com/p/Square-D-Homeline-100-Amp-20-Space-40-Circuit-Indoor-Main-Breaker-Plug-On-Neutral-Load-Center-with-Cover-HOM2040M100PCVP-HOM2040M100PCVP/204836397,204836397
96,100A 24-Space Load Center,100-amp 24-space main breaker load center for residential sub-panel applications.,unit,98.00,Electrical,,2026-03-12 02:40:52.068046,,,
97,150A 24-Space Load Center,150-amp main breaker panel with 24 spaces for medium residential electrical service.,unit,128.00,Electrical,,2026-03-12 02:40:52.070936,,,
98,200A 24-Space Load Center,200-amp 24-space main breaker panel for standard residential electrical service.,unit,148.00,Electrical,,2026-03-12 02:40:52.075127,,,
99,200A 30-Space Load Center,200-amp 30-space load center for residential main service with room for expanded circuits.,unit,168.00,Electrical,,2026-03-12 02:40:52.079989,,,
100,200A 40-Space Load Center,200-amp 40-space main breaker panel for large homes and high-circuit-count installations.,unit,195.00,Electrical,,2026-03-12 02:40:52.084127,,,
101,200A 42-Space Load Center,200-amp 42-space load center — maximum capacity residential panel for whole-home electrification.,unit,215.00,Electrical,,2026-03-12 02:40:52.087213,,,
102,400A Meter Main Combo,400-amp meter socket and main disconnect combination for service entrance applications.,unit,420.00,Electrical,,2026-03-12 02:40:52.090572,,,
103,Standard 15A Outlet (Duplex),Standard 15-amp 125V duplex receptacle. White. For general residential wiring.,piece,2.50,Electrical,,2026-03-12 02:59:48.409188,,https://www.homedepot.com/p/Leviton-15-Amp-125-V-Duplex-Outlet-Receptacle-White-10-Pack-5320-WMP-M24-05320-WMP/100055784,100055784
104,Standard 20A Outlet (Duplex),20-amp 125V duplex receptacle with T-slot. White. For kitchen and bath circuits.,piece,3.75,Electrical,,2026-03-12 02:59:48.664015,,,
105,GFCI Outlet 15A,15-amp GFCI duplex receptacle with test/reset buttons. Required in wet areas. White.,piece,14.50,Electrical,,2026-03-12 02:59:48.66828,,https://www.homedepot.com/p/Leviton-15-Amp-125-Volt-Duplex-Self-Test-Slim-GFCI-Outlet-White-4-Pack-GFNT1-4W-M42-GFNT1-04W/305340141,305340141
106,GFCI Outlet 20A,"20-amp GFCI duplex receptacle. Required in kitchens, bathrooms, garages. White.",piece,18.00,Electrical,,2026-03-12 02:59:48.673559,,https://www.homedepot.com/p/Leviton-20-Amp-125-Volt-Duplex-Self-Test-GFCI-Outlet-White-4-Pack-GFNT2-4W/305340142,305340142
107,USB Outlet (Type A+C),Duplex outlet with built-in USB-A and USB-C charging ports. 15A. White.,piece,22.00,Electrical,,2026-03-12 02:59:48.678815,,,
108,Outdoor GFCI Outlet 20A,Weatherproof 20-amp GFCI outlet with in-use cover. For exterior and wet locations.,piece,26.00,Electrical,,2026-03-12 02:59:48.683026,,,
109,Dryer Outlet 30A (4-Wire),30-amp 250V 4-wire dryer receptacle (NEMA 14-30R). Flush mount.,piece,12.00,Electrical,,2026-03-12 02:59:48.687814,,,
110,Range Outlet 50A (4-Wire),50-amp 250V 4-wire range receptacle (NEMA 14-50R). For electric ranges and EV chargers.,piece,16.00,Electrical,,2026-03-12 02:59:48.69193,,,
111,Single Pole Light Switch 15A,Standard single-pole 15-amp on/off light switch. White.,piece,3.25,Electrical,,2026-03-12 02:59:48.695754,,https://www.homedepot.com/p/Leviton-15-Amp-Single-Pole-Toggle-Light-Switch-White-1451-2W-R52-01451-02W/100026991,100026991
112,3-Way Light Switch 15A,15-amp 3-way switch for controlling a light from two locations. White.,piece,5.50,Electrical,,2026-03-12 02:59:48.701046,,,
113,4-Way Light Switch 15A,15-amp 4-way switch used in conjunction with two 3-way switches. White.,piece,7.50,Electrical,,2026-03-12 02:59:48.704253,,,
114,Dimmer Switch Single Pole,Single-pole LED-compatible dimmer switch. 150W max. White.,piece,18.00,Electrical,,2026-03-12 02:59:48.707515,,,
115,Dimmer Switch 3-Way,3-way LED-compatible dimmer switch for two-location control. White.,piece,26.00,Electrical,,2026-03-12 02:59:48.710666,,,
116,Smart Switch Single Pole (Wi-Fi),Wi-Fi enabled single-pole smart switch. Works with Alexa and Google Home. Neutral wire required.,piece,38.00,Electrical,,2026-03-12 02:59:48.715957,,,
117,GFCI Switch Combo 15A,15-amp GFCI outlet and switch combination device. White. For garage and bath.,piece,22.00,Electrical,,2026-03-12 02:59:48.719551,,,
118,"4"" LED Recessed Light (6-Pack)",6-pack of 4-inch dimmable LED recessed lights. 75W equivalent. 3000K warm white. IC-rated.,pack,48.00,Electrical,,2026-03-12 02:59:48.723562,,https://www.homedepot.com/p/Commercial-Electric-Box-on-Top-Integrated-LED-4-in-Round-Canless-Recessed-Light-for-Kitchen-Bathroom-Livingroom-White-Soft-White-6-Pack-91514/313556964,313556964
119,"6"" LED Recessed Light (6-Pack)",6-pack of 6-inch dimmable LED recessed downlights. 65W equivalent. 4000K neutral white.,pack,62.00,Electrical,,2026-03-12 02:59:48.72775,,,
120,LED Shop Light 4 ft (Plug-In),4-foot 4000 lumen linkable LED shop light. Plug-in with pull cord. For garages and workshops.,unit,32.00,Electrical,,2026-03-12 02:59:48.731381,,https://www.homedepot.com/p/Commercial-Electric-4-ft-Plug-in-Pull-Chain-Linkable-Integrated-LED-White-Shop-Light-Garage-Light-3600-Lumens-36W-Bright-White-4000K-54103161/205331022,205331022
121,LED Vapor Tight Light 4 ft,4-foot weatherproof LED vapor tight fixture. 5000K. 5000 lumens. For wet locations.,unit,54.00,Electrical,,2026-03-12 02:59:48.735774,,,
122,LED Flood Light 50W (Outdoor),50-watt outdoor LED flood light with motion sensor. 5000 lumens. ETL listed.,unit,44.00,Electrical,,2026-03-12 02:59:48.739742,,,
123,LED Flood Light 100W (Outdoor),100-watt outdoor LED flood light. 10000 lumens. 5000K. For commercial job sites.,unit,68.00,Electrical,,2026-03-12 02:59:48.744799,,,
124,Keyless Lamp Holder (Medium Base),Porcelain keyless lamp holder for medium (E26) base bulbs. 660W max. For utility areas.,piece,4.50,Electrical,,2026-03-12 02:59:48.748443,,,
125,Work Light 500W Halogen (Tripod),Dual-head 500W halogen work light on adjustable tripod. For job site temporary lighting.,unit,58.00,Electrical,,2026-03-12 02:59:48.751439,,,
126,1-Gang Old Work Electrical Box,1-gang plastic old work electrical box for retrofitting outlets and switches in drywall.,piece,1.75,Electrical,,2026-03-12 02:59:48.754798,,,
127,1-Gang New Construction Box,1-gang plastic new construction electrical box with mounting nails for stud mounting.,piece,1.25,Electrical,,2026-03-12 02:59:48.758186,,,
128,2-Gang Old Work Electrical Box,2-gang plastic old work box for retrofitting two-device installations in existing drywall.,piece,2.50,Electrical,,2026-03-12 02:59:48.762526,,,
129,2-Gang New Construction Box,"2-gang plastic new construction box for two switches or outlets, mounts to stud.",piece,1.75,Electrical,,2026-03-12 02:59:48.767147,,,
130,"4"" Square Junction Box (Metal)","4-inch square metal junction box, 2-1/8 inch deep. For splicing and wire connections.",piece,3.25,Electrical,,2026-03-12 02:59:48.772069,,,
131,"4"" Octagonal Junction Box (Metal)",4-inch octagonal metal junction box for ceiling fixture mounting.,piece,2.75,Electrical,,2026-03-12 02:59:48.776227,,,
132,Weatherproof Electrical Box (Outdoor),2-gang weatherproof aluminum electrical box for outdoor receptacles and switches.,piece,6.50,Electrical,,2026-03-12 02:59:48.780861,,,
133,10 AWG Solar PV Wire - Black (100 ft),"10 AWG UL 4703 rated solar PV wire, black. Sunlight resistant, double insulated. For panel-to-combiner runs.",roll,62.00,Solar,,2026-03-12 03:03:15.070054,,,
134,10 AWG Solar PV Wire - Red (100 ft),"10 AWG UL 4703 rated solar PV wire, red. Sunlight resistant, double insulated. For panel-to-combiner runs.",roll,62.00,Solar,,2026-03-12 03:03:15.108092,,,
135,8 AWG THWN-2 Wire - Black (100 ft),"8 AWG THWN-2 copper wire, black. Wet/dry rated 90°C. For solar feeder runs in conduit.",roll,78.00,Electrical,,2026-03-12 03:03:15.112687,,,
136,8 AWG THWN-2 Wire - Red (100 ft),"8 AWG THWN-2 copper wire, red. Wet/dry rated 90°C. For solar feeder runs in conduit.",roll,78.00,Electrical,,2026-03-12 03:03:15.117463,,,
137,8 AWG THWN-2 Wire - Green (100 ft),"8 AWG THWN-2 copper wire, green. Ground wire for solar system grounding.",roll,78.00,Electrical,,2026-03-12 03:03:15.121361,,,
138,6 AWG THWN-2 Wire - Black (100 ft),"6 AWG THWN-2 copper wire, black. For larger solar array feeder and inverter connections.",roll,110.00,Electrical,,2026-03-12 03:03:15.126033,,,
139,6 AWG THWN-2 Wire - Red (100 ft),"6 AWG THWN-2 copper wire, red. For larger solar array feeder and inverter connections.",roll,110.00,Electrical,,2026-03-12 03:03:15.130213,,,
140,6 AWG THWN-2 Wire - Green (100 ft),"6 AWG THWN-2 copper wire, green. Ground wire for larger solar feeder circuits.",roll,110.00,Electrical,,2026-03-12 03:03:15.133662,,,
141,4 AWG THWN-2 Wire - Black (100 ft),"4 AWG THWN-2 copper wire, black. For high-current solar inverter output and main feeder.",roll,158.00,Electrical,,2026-03-12 03:03:15.138884,,,
142,4 AWG THWN-2 Wire - Red (100 ft),"4 AWG THWN-2 copper wire, red. For high-current solar inverter output and main feeder.",roll,158.00,Electrical,,2026-03-12 03:03:15.142794,,,
143,4 AWG THWN-2 Wire - Green (100 ft),"4 AWG THWN-2 copper wire, green. Equipment grounding conductor for large solar systems.",roll,158.00,Electrical,,2026-03-12 03:03:15.146448,,,
144,2 AWG THWN-2 Wire - Black (100 ft),"2 AWG THWN-2 copper wire, black. For commercial solar service entrance and large inverter output.",roll,220.00,Electrical,,2026-03-12 03:03:15.149586,,,
145,2 AWG THWN-2 Wire - Red (100 ft),"2 AWG THWN-2 copper wire, red. For commercial solar service entrance and large inverter output.",roll,220.00,Electrical,,2026-03-12 03:03:15.15312,,,
146,1/0 AWG THWN-2 Wire - Black (100 ft),"1/0 AWG THWN-2 copper wire, black. For large commercial solar main service runs.",roll,340.00,Electrical,,2026-03-12 03:03:15.158905,,,
147,1/0 AWG THWN-2 Wire - Red (100 ft),"1/0 AWG THWN-2 copper wire, red. For large commercial solar main service runs.",roll,340.00,Electrical,,2026-03-12 03:03:15.162966,,,
148,50W 12V Monocrystalline Solar Panel,"50-watt 12V monocrystalline solar panel. Ideal for small off-grid systems, RVs, and battery trickle charging.",unit,58.00,Solar,,2026-03-12 03:06:52.358008,,,
149,100W 12V Monocrystalline Solar Panel,"100-watt 12V monocrystalline solar panel. High efficiency for off-grid cabins, RVs, and backup systems.",unit,98.00,Solar,,2026-03-12 03:06:52.36407,,,
150,200W 24V Monocrystalline Solar Panel,200-watt 24V monocrystalline solar panel. For medium off-grid systems and ground mounts.,unit,175.00,Solar,,2026-03-12 03:06:52.368958,,,
151,300W Monocrystalline Solar Panel,300-watt monocrystalline solar panel. Standard residential rooftop panel with high efficiency cells.,unit,220.00,Solar,,2026-03-12 03:06:52.374368,,,
152,400W Monocrystalline Solar Panel,400-watt monocrystalline solar panel. High-output panel for residential and commercial rooftop arrays.,unit,280.00,Solar,,2026-03-12 03:06:52.377731,,,
153,420W Bifacial Solar Panel,420-watt bifacial monocrystalline panel. Generates power from both sides for ground mount and pergola applications.,unit,320.00,Solar,,2026-03-12 03:06:52.381782,,,
154,500W Monocrystalline Solar Panel,500-watt large-format monocrystalline solar panel for commercial and utility-scale installations.,unit,380.00,Solar,,2026-03-12 03:06:52.385113,,,
155,550W Bifacial Solar Panel,550-watt bifacial monocrystalline panel. Top-tier commercial panel for maximum energy density.,unit,430.00,Solar,,2026-03-12 03:06:52.389719,,,
156,100W Flexible Solar Panel,"100-watt flexible monocrystalline solar panel. Lightweight and bendable for curved surfaces, RVs, and marine use.",unit,145.00,Solar,,2026-03-12 03:06:52.394772,,,
157,200W Flexible Solar Panel,"200-watt flexible monocrystalline solar panel. For irregular surfaces, van builds, and marine applications.",unit,260.00,Solar,,2026-03-12 03:06:52.39788,,,
158,"1/2"" LB Conduit Body",1/2-inch EMT LB conduit body with cover and gasket. For 90° direction changes exiting through back.,unit,5.50,Solar,,2026-03-12 03:06:52.40118,,,
159,"3/4"" LB Conduit Body",3/4-inch EMT LB conduit body with cover and gasket. Standard solar riser elbow.,unit,7.00,Solar,,2026-03-12 03:06:52.405,,,
160,"1"" LB Conduit Body",1-inch EMT LB conduit body with cover and gasket. For larger solar wire runs through walls and rooftops.,unit,9.50,Solar,,2026-03-12 03:06:52.408253,,,
161,"1-1/4"" LB Conduit Body",1-1/4-inch EMT LB conduit body with cover and gasket.,unit,13.00,Solar,,2026-03-12 03:06:52.412352,,,
162,"1-1/2"" LB Conduit Body",1-1/2-inch EMT LB conduit body with cover and gasket.,unit,17.00,Solar,,2026-03-12 03:06:52.415277,,,
163,"2"" LB Conduit Body",2-inch EMT LB conduit body with cover and gasket. For main solar service entrance runs.,unit,24.00,Solar,,2026-03-12 03:06:52.419128,,,
164,"1/2"" LL Conduit Body",1/2-inch EMT LL conduit body with cover. For 90° left-turn direction changes.,unit,5.50,Solar,,2026-03-12 03:06:52.423892,,,
165,"3/4"" LL Conduit Body",3/4-inch EMT LL conduit body with cover. For 90° left-turn direction changes.,unit,7.00,Solar,,2026-03-12 03:06:52.427377,,,
166,"1"" LL Conduit Body",1-inch EMT LL conduit body with cover.,unit,9.50,Solar,,2026-03-12 03:06:52.430742,,,
167,"1-1/4"" LL Conduit Body",1-1/4-inch EMT LL conduit body with cover.,unit,13.00,Solar,,2026-03-12 03:06:52.434821,,,
